Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,67,65.2,153.1,299.2,467.1,405.8,611.9,404.9,744.1,292.8,210,71.4
1951,216,45.1,257.1,204,231.6,1179.5,446,83.4,553.2,381.7,301.1,40.2
1952,172.6,126.2,102.7,444.2,948.9,548.7,327.6,582.7,138.7,624.7,226,116.3
1953,96,136.8,334.7,284.3,20.4,389.5,712.1,167.1,304.9,414.3,145.9,143.9
1954,72.3,107.5,244.5,353.3,457.1,319.3,355.9,628.1,252.2,615.7,160.2,316.9
1955,169.1,148.5,265.5,272.1,854,969.7,444.5,121,401.4,387.9,285.9,31.1
1956,78.9,28.9,207.1,184.9,314.5,955,310.8,533.2,474.2,458.1,421.5,79.7
1957,56,197.2,35.6,354.2,394.5,620.6,665.6,343,113.8,259.5,429.5,600.9
1958,84.5,62.1,300.7,441.7,368.7,589.6,264.1,528.3,113.3,665.4,271.5,102.1
1959,120,68.2,91.2,241.2,317.4,1101.9,725,343.9,425.4,350.4,192,141.2
1960,103.5,179.8,147.4,226.2,350.9,429.8,463.3,349.8,766.9,232.9,266.8,50.7
1961,36.2,107.8,149.3,193.6,501.3,229.7,315,588.6,223.7,326.8,153.3,190.5
1962,86.4,72.1,118.5,222.3,559.2,158.8,380.6,247.1,436.6,509.7,190.6,106.7
1963,102.6,78.2,264.1,328.5,279.9,487.3,356.6,366.1,310.6,367.3,263.8,170.3
1964,67.9,159,127.7,176,159,275.9,533.7,318.7,401.3,382.2,455.3,91
1965,12.5,60.5,150,344.2,911.9,349.1,192,593,287.7,364.3,231.9,211.7
1966,101.2,52.1,179.2,433.6,146.5,326.1,309.1,274.4,744.5,331.7,243.1,199
1967,59.5,56.1,148.2,155.1,98.4,304.5,307,314,176.6,631.1,298.3,226.6
1968,39.9,31.4,197.9,192.8,329.1,766.1,785.5,451.9,576.6,260.5,269.8,198.2
1969,80,91.8,126.9,350.7,734.2,524.9,269.1,200.6,373.8,341.3,97.9,336.1
1970,95,93.6,231.6,294.4,194.7,460.1,522.4,520.7,301,573.5,454.4,131.3
1971,115.5,80.9,129.9,403.8,343.3,524.4,439,426.4,804.4,270.1,106,149.4
1972,27.5,14.4,100.3,248,644.6,251.2,529.6,385.6,513.2,451.9,294.3,180
1973,28.6,41.5,184.2,221,90.8,457.8,344,612.1,98,335.4,260,287.5
1974,0.8,194.8,183.1,454.1,462,527.4,1067.6,550.1,704.6,241.2,99,187.5
1975,34.1,43.8,144.8,212.6,262.7,737.8,220.3,669.8,343.2,577.6,443.9,121.4
1976,40.5,22.6,65.7,290.2,99.3,141.9,406.4,302.7,132.6,396.6,312.3,141.3
1977,11.9,38.1,150.8,265.6,397,455.3,426.8,189.2,134.9,345.5,244.1,43.7
1978,24.8,84.3,174.8,135.2,647.2,405.7,571.7,721.7,464.6,300.9,533.5,69.8
1979,35.2,124.4,150.4,160.6,429.3,621.5,610.5,273.4,719,532.3,411.6,137.2
1980,4.5,1,194.4,332.7,204.4,365.8,456.1,457.1,239.1,256.5,408,114
